Code,pentad,2000,2001,2002,2003
12176,1,5.324,7.886999999999999,3.1420000000000003,4.587999999999999
12176,10,8.212,4.518,7.418000000000001,3.146
12176,11,10.568000000000001,3.0799999999999996,13.050999999999998,4.972
12176,12,13.675999999999998,5.056,8.349999999999998,7.616
12176,13,8.478,11.701999999999998,4.712000000000001,9.136
12176,14,12.138000000000002,19.52,3.942,10.41
12176,15,16.205999999999996,11.082000000000003,4.002000000000001,4.55
12176,16,7.537999999999999,22.200000000000003,10.405999999999999,5.118
12176,17,8.64,10.600000000000001,3.596,6.462000000000001
12176,18,5.686000000000001,7.228,3.21,8.286
12176,19,7.128,23.660000000000004,3.152,4.926
12176,2,4.244,4.786,3.1239999999999997,3.518
12176,20,7.06,16.201999999999998,3.9239999999999995,5.864
12176,21,6.752,11.166,3.664,4.988
12176,22,8.172,15.081999999999999,4.386,4.7780000000000005
12176,23,8.047999999999998,13.040000000000001,9.929999999999998,4.772
12176,24,7.465999999999999,8.718,20.492,4.38
12176,25,6.467999999999999,5.617999999999999,6.831999999999999,5.036
12176,26,4.32,4.628,5.354,8.01
12176,27,5.053999999999999,6.288,3.84,10.626
12176,28,5.394,6.004,4.586,8.122
12176,29,3.832,4.226000000000001,10.443000000000001,4.241999999999999
12176,3,3.6739999999999995,3.2439999999999998,3.0700000000000003,3.198
12176,30,7.812,8.072,3.832,4.262
12176,31,4.638,19.688,14.278,5.364999999999999
12176,32,7.5200000000000005,13.024000000000001,5.5120000000000005,4.3100000000000005
12176,33,4.942,15.780000000000001,3.7120000000000006,3.7679999999999993
12176,34,3.8160000000000003,4.904,3.998,3.532
12176,35,4.752000000000001,5.6259999999999994,4.522,3.518
12176,36,4.654,4.006,4.4159999999999995,4.843000000000001
12176,37,7.246,4.46,5.593999999999999,3.432
12176,38,19.68,4.431333333333333,4.005999999999999,3.2359999999999998
12176,39,21.126,8.114666666666668,7.702,4.109999999999999
12176,4,3.286,3.0840000000000005,3.5550000000000006,3.728
12176,40,4.136000000000001,5.682,3.7900000000000005,6.534000000000001
12176,41,10.3,3.368,3.332,3.904
12176,42,5.884,5.854,3.6659999999999995,3.1979999999999995
12176,43,18.47,3.9659999999999997,5.926,3.1159999999999997
12176,44,3.978,3.336,12.538,3.114
12176,45,3.1879999999999997,3.81,3.9339999999999997,3.065
12176,46,5.08,3.0340000000000003,5.702,2.872
12176,47,3.592,3.0160000000000005,3.468,3.04
12176,48,6.583999999999999,5.523,8.596,3.2380000000000004
12176,49,6.85,11.59,4.662000000000001,2.95
12176,5,3.0480000000000005,3.2299999999999995,6.4879999999999995,5.277
12176,50,3.4840000000000004,7.986,4.046000000000001,3.4219999999999997
12176,51,3.04,24.142000000000003,4.139,2.558
12176,52,7.875,12.156,31.48,2.71
12176,53,3.176,5.716,11.15,2.768
12176,54,5.223999999999999,3.804,4.505999999999999,5.492
12176,55,5.372,4.398000000000001,11.464,18.12
12176,56,5.992,3.406,6.7379999999999995,4.248
12176,57,3.3319999999999994,3.3659999999999997,12.364,2.8
12176,58,2.7319999999999998,4.772,5.765999999999999,3.172
12176,59,3.714,4.818,4.55,3.1319999999999997
12176,6,16.738,4.68,3.6119999999999997,4.076
12176,60,5.878,5.108,20.21,5.294
12176,61,4.918,7.208000000000001,16.919999999999998,2.99
12176,62,3.1940000000000004,4.148000000000001,17.157999999999998,5.458
12176,63,4.516,3.5419999999999994,21.648000000000003,4.444
12176,64,6.328,3.886,6.634,2.9059999999999997
12176,65,5.13,13.270999999999997,8.004,4.422
12176,66,2.9539999999999997,14.722,6.787999999999999,5.256
12176,67,2.762,6.654000000000001,4.0600000000000005,2.982
12176,68,3.0309999999999997,3.622,3.3340000000000005,3.3579999999999997
12176,69,3.1420000000000003,3.22,7.0569999999999995,2.8520000000000003
12176,7,11.453999999999999,5.872,8.678,3.684
12176,70,2.698,3.306,9.07,3.053
12176,71,2.798,4.304,6.530000000000001,3.1980000000000004
12176,72,3.3175000000000003,4.0075,10.47,2.8324999999999996
12176,8,10.856,3.022,5.442,3.364
12176,9,14.062000000000001,2.868,3.372,3.036
12256,1,0.10400000000000001,0.332,0.126,0.31
12256,10,0.03,0.17,0.064,0.089
12256,11,0.03,0.17,0.07800000000000001,0.086
12256,12,0.03,0.17,0.08399999999999999,0.09
12256,13,0.035,0.17899999999999996,0.1,0.092
12256,14,0.04,0.186,0.11200000000000002,0.11400000000000002
12256,15,0.05,0.2,0.138,0.15000000000000002
12256,16,0.064,0.278,0.148,0.2
12256,17,0.078,0.40199999999999997,0.10400000000000001,0.28200000000000003
12256,18,0.09,0.37,0.136,0.316
12256,19,0.098,0.41000000000000003,0.138,0.40599999999999997
12256,2,0.084,0.292,0.098,0.25
12256,20,0.10800000000000001,0.35000000000000003,0.24800000000000005,0.302
12256,21,0.17,0.31,0.38800000000000007,0.438
12256,22,0.8859999999999999,0.298,0.46799999999999997,0.6639999999999999
12256,23,1.778,0.6210000000000001,0.676,1.264
12256,24,2.87,2.3150000000000004,2.5700000000000003,2.2600000000000002
12256,25,3.592,3.476,1.6800000000000002,4.2
12256,26,5.890000000000001,4.534,2.112,3.342
12256,27,6.176,5.16,4.052,2.0439999999999996
12256,28,3.59,5.176,5.152,1.884
12256,29,5.27,8.004,4.186,3.874
12256,3,0.07,0.26,0.07400000000000001,0.198
12256,30,7.384,5.974,5.759,7.838000000000001
12256,31,8.75,5.802,4.364000000000001,11.1
12256,32,9.34,7.9159999999999995,3.618,12.58
12256,33,8.23,8.478,10.678,9.292
12256,34,10.488,7.13,13.6,11.09
12256,35,5.654,12.66,8.252,12.459999999999999
12256,36,11.136,11.52,7.148000000000001,8.592
12256,37,8.988,13.84,5.8260000000000005,5.562
12256,38,4.1579999999999995,12.52,7.536,9.691999999999998
12256,39,2.44,13.494,5.932,12.64
12256,4,0.055999999999999994,0.22999999999999998,0.06,0.166
12256,40,8.678999999999998,7.436,5.666,12.280000000000001
12256,41,8.370000000000001,10.966,6.008,10.565999999999999
12256,42,8.538,17.32,4.564,11.988
12256,43,7.7780000000000005,15.219999999999999,5.402,11.96
12256,44,7.9,11.98,5.212000000000001,10.843999999999998
12256,45,10.057999999999998,11.78,5.63,9.978
12256,46,10.741999999999999,8.962,6.022,8.534
12256,47,6.603999999999999,9.922,6.183999999999999,10.056000000000001
12256,48,3.2640000000000002,4.6579999999999995,6.305999999999999,3.6420000000000003
12256,49,2.488,2.752,4.076,2.304
12256,5,0.048,0.20400000000000001,0.05,0.118
12256,50,3.7699999999999996,1.952,3.136,1.4460000000000002
12256,51,3.3,1.388,2.178,2.2039999999999997
12256,52,2.998,1.526,1.8479999999999996,2.242
12256,53,1.81,1.4979999999999998,0.952,1.352
12256,54,1.908,1.884,0.82,1.5819999999999999
12256,55,1.516,2.5540000000000003,0.774,0.944
12256,56,7.938999999999998,1.6019999999999999,0.826,0.758
12256,57,4.76,1.816,1.221,0.6859999999999999
12256,58,1.902,2.578,1.076,0.666
12256,59,1.318,1.3,0.8719999999999999,0.698
12256,6,0.04,0.182,0.05,0.094
12256,60,1.5459999999999998,0.952,0.764,0.805
12256,61,1.224,0.74,0.6619999999999999,0.668
12256,62,1.902,0.6679999999999999,1.0586666666666666,0.6380000000000001
12256,63,1.866,0.53,3.573333333333333,0.568
12256,64,1.072,0.49399999999999994,1.276,0.538
12256,65,0.818,0.422,1.498,0.5760000000000001
12256,66,0.9400000000000001,0.39,0.922,0.5359999999999999
12256,67,0.5980000000000001,0.368,0.734,0.46799999999999997
12256,68,0.54,0.308,0.578,0.398
12256,69,0.526,0.258,0.524,0.33
12256,7,0.034,0.17200000000000001,0.05,0.09
12256,70,0.484,0.22000000000000003,0.488,0.29
12256,71,0.43600000000000005,0.19,0.442,0.25
12256,72,0.37249999999999994,0.15,0.37,
12256,8,0.03,0.17,0.05,0.09
12256,9,0.03,0.17,0.051000000000000004,0.09
